iter	Passed	Remaining
573	21132	15683
574	21169	15646
575	21199	15604
576	21231	15564
577	21262	15524
578	21300	15487
579	21341	15454
580	21375	15415
581	21411	15377
582	21447	15340
583	21481	15302
584	21514	15262
585	21549	15224
586	21584	15186
587	21618	15147
588	21655	15111
589	21694	15076
590	21735	15041
591	21771	15004
592	21808	14968
593	21842	14929
594	21881	14894
595	21912	14853
596	21947	14815
597	21977	14774
598	22010	14734
599	22047	14698
600	22081	14659
601	22110	14618
602	22142	14577
603	22173	14537
604	22215	14504
605	22250	14466
606	22282	14426
607	22316	14388
608	22345	14346
609	22384	14311
610	22417	14272
611	22451	14234
612	22485	14195
613	22523	14159
614	22561	14123
615	22595	14085
616	22625	14044
617	22659	14006
618	22694	13968
619	22729	13931
620	22761	13891
621	22795	13852
622	22827	13814
623	22866	13778
624	22902	13741
625	22938	13704
626	22971	13665
627	23004	13626
628	23033	13585
629	23062	13544
630	23096	13506
631	23131	13468
632	23168	13432
633	23208	13397
634	23240	13358
635	23276	13321
636	23305	13280
637	23339	13242
638	23376	13206
639	23406	13166
640	23438	13126
641	23472	13088
642	23502	13048
643	23537	13011
644	23572	12973
645	23603	12934
646	23637	12896
647	23674	12860
648	23715	12825
649	23748	12787
650	23781	12749
651	23817	12712
652	23854	12675
653	23891	12640
654	23928	12603
655	23962	12565
656	23998	12528
657	24035	12492
658	24066	12453
659	24099	12415
660	24137	12379
661	24170	12340
662	24206	12303
663	24236	12264
664	24266	12224
665	24300	12186
666	24333	12148
667	24366	12110
668	24399	12072
669	24438	12036
670	24474	12000
671	24510	11963
672	24542	11924
673	24583	11890
674	24622	11855
675	24656	11817
676	24690	11779
677	24725	11742
678	24757	11704
679	24796	11668
680	24832	11632
681	24866	11594
682	24895	11554
683	24928	11516
684	24967	11481
685	24996	11441
686	25030	11404
687	25061	11365
688	25097	11328
689	25135	11292
690	25166	11253
691	25200	11216
692	25238	11180
693	25277	11145
694	25318	11110
695	25351	11073
696	25387	11036
697	25419	10998
698	25456	10962
699	25493	10925
700	25524	10887
701	25558	10849
702	25599	10815
703	25637	10779
704	25669	10741
705	25706	10705
706	25736	10665
707	25774	10630
708	25813	10594
709	25844	10556
710	25875	10517
711	25914	10482
712	25953	10446
713	25988	10409
714	26023	10372
715	26067	10339
716	26106	10304
717	26141	10267
718	26173	10229
719	26205	10191
720	26243	10155
721	26277	10117
722	26306	10078
723	26339	10040
724	26371	10003
725	26405	9965
